director,return_total
,4.293455287614459
 Yeon Sang-Ho,0.24147029478458049
A.R. Murugadoss,15.532898351648353
Aamir Khan,10.934615384615384
Aaron Katz,6.17
Aaron Norris,0.8489511666666667
"Abbas Alibhai Burmawalla, Mastan Alibhai Burmawalla",2.642857142857143
Abbas Tyrewala,4.826086956521739
Abdellatif Kechiche,2.36411488372093
Abderrahmane Sissako,0.0555
Abe Sylvia,0.01378125
Abel Ferrara,4.931984766153846
Abhinay Deo,4.409535452322738
Abhishek Chaubey,2.491638795986622
Abrid Shine,8.333333333333334
Adam Elliot,2.9232102467661187
Adam Green,0.0210416
Adam Marcus,5.312688333333333
Adam McKay,17.64200353760136
Adam Rapp,0.03250942857142857
Adam Rifkin,0.9568380384615385
"Adam Sanderson, Muli Segev",2.1311475409836067
Adam Shankman,22.521404221969696
"Adam Simon, Darren Moloney",1.753979
Adam Wingard,9.508030999999999
Aditya Chopra,7.575757575757576
Adrian Lyne,56.94869952067013
Adrienne Shelly,11.089715
Afonso Poyart,0.810218
Agathiyan,1.0
Agnieszka Smoczynska,0.0781976923076923
Agnieszka Wojtowicz-Vosloo,0.8014211111111111
Agustí Villaronga,0.6284428333333333
Agustín Díaz Yanes,0.9717480833333333
Aki Kaurismäki,1.1703028985507247
Akira Kurosawa,0.8760753695652175
Akiva Goldsman,0.5133371833333333
Akiva Schaffer,1.0039391470588235
Alain Chabat,1.76068468013468
Alain Fresnot,1.0
Alan J. Pakula,27.971477048900773
Alan Johnson,0.0631704
Alan Myerson,9.385357142857142
Alan Parker,24.36920087406262
Alan Poul,2.2136288
Alan Shapiro,3.0547591061496275
"Alan Smithee, Arthur Hiller",0.0045779
Alan Taylor,6.634199946869071
"Alastair Fothergill, Mark Linfield",7.266666666666667
"Albert Hughes, Allen Hughes",12.06550736607143
Albert Magnoli,9.499024583333334
Albert Pyun,30.10877425
Alberto Rodríguez,1.76986415
Alejandro Agresti,2.870752775
Alejandro Amenábar,3.6938666269686546
Alejandro González Iñárritu,28.570786122592594
Alejandro Monteverde,0.32429805
"Alek Keshishian, Mark Aldo Miceli",7.25
Aleksander Bach,2.3419271428571427
