pais,cantidad_peliculas
United States of America,21176
,6220
United Kingdom,4100
France,3956
Germany,2266
Italy,2174
Canada,1766
Japan,1654
Spain,964
Russia,911
India,829
Hong Kong,596
Sweden,594
Australia,570
South Korea,497
Belgium,449
Denmark,390
Finland,389
Netherlands,375
China,372
Mexico,331
Poland,321
Brazil,291
Argentina,254
Switzerland,254
Ireland,225
Czech Republic,209
Austria,209
Norway,207
Hungary,175
Greece,169
Turkey,165
Israel,149
Romania,142
Taiwan,129
Portugal,128
South Africa,125
New Zealand,123
Thailand,118
Iran,107
Serbia,106
Luxembourg,92
Philippines,83
Croatia,78
Iceland,68
Chile,68
Estonia,59
Bulgaria,56
Ukraine,55
Singapore,41
Lithuania,36
Bosnia and Herzegovina,35
Colombia,34
Morocco,33
Indonesia,33
Slovenia,32
Slovakia,31
Peru,30
Georgia,30
Latvia,29
United Arab Emirates,27
Egypt,25
Cuba,25
Kazakhstan,23
Soviet Union,20
Tunisia,20
Venezuela,19
Uruguay,18
Pakistan,18
Qatar,16
Malaysia,15
Macedonia,15
Lebanon,15
Senegal,14
Puerto Rico,13
Algeria,13
Palestinian Territory,11
Vietnam,10
Ecuador,10
Burkina Faso,10
Bolivia,10
Jordan,9
Cambodia,9
Belarus,9
Malta,9
Liechtenstein,8
Armenia,8
Iraq,8
Dominican Republic,8
Afghanistan,8
Cyprus,7
Panama,7
Montenegro,7
Kyrgyz Republic,6
Uzbekistan,6
Costa Rica,6
Nigeria,6
East Germany,6
Guatemala,6
Aruba,6
Bahamas,5
Ethiopia,5
Syrian Arab Republic,5
Nepal,5
Congo,5
Albania,5
Cameroon,5
Mauritania,5
Yugoslavia,4
Jamaica,4
Chad,4
Rwanda,4
Monaco,4
Bhutan,4
Ghana,4
Czechoslovakia,4
Namibia,3
Libyan Arab Jamahiriya,3
Angola,3
Liberia,3
Sri Lanka,3
Nicaragua,3
Botswana,3
El Salvador,3
Zimbabwe,3
Paraguay,3
Lao People's Democratic Republic,3
Kenya,3
Serbia and Montenegro,3
Mongolia,3
Tajikistan,3
North Korea,3
Saudi Arabia,2
Uganda,2
Papua New Guinea,2
Macao,2
Tanzania,2
Bangladesh,2
Azerbaijan,2
Mali,2
Trinidad and Tobago,2
Cote D'Ivoire,2
Antarctica,1
Gibraltar,1
Barbados,1
Brunei Darussalam,1
Honduras,1
Moldova,1
Samoa,1
French Southern Territories,1
Cayman Islands,1
Bermuda,1
Myanmar,1
Netherlands Antilles,1
French Polynesia,1
Madagascar,1
Somalia,1
United States Minor Outlying Islands,1
Martinique,1
Kuwait,1
Guinea,1
