production_companies,revenue,cantidad_peliculas
,1759117745.0,11826
"""DIA"" Productions GmbH & Co. KG",11087731.5,4
1.85 Films,12252.125,9
100 Bares,6440649.222222222,18
1000 Volt,46243.333333333336,3
1019 Entertainment,560301.6,5
10th Hole Productions,4531857.583333333,23
11:11 Mediaworks,59594167.0,13
120 Films,5475811.555555556,51
120dB Films,391218.80000000005,61
13 Productions,5092.2,19
1492 Pictures,1482790382.179762,81
16 Block Productions,8208090.125,8
1600 Limited Partnership,6451176.75,4
1818,4077542.6666666665,3
1821 Pictures,10526176.228571428,23
19 Entertainment,6997981.25,5
1976 Productions,2396.5,2
1984 Private Defense Contractors,29532342.510101013,43
2 Bridges Productions,1826.5,4
2 Entertain,14087760.375,11
2 Loop Films,75138.5,2
20th Century Fox,51523297.16666667,29
20th Century Fox Home Entertainment,3456065.2,54
20th Century Fox Russia,26648745.4,8
20th Century Fox Television,14000000.0,42
21 Laps Entertainment,577190312.9277778,76
21st Century 3D,67552.5,4
21st Century Film Corporation,3768820.5,11
22 & Indiana Pictures,90384570.5,6
2262730 Ontario,630.25,4
22h22,2235415.6666666665,24
24P Media Group,404371.6666666667,9
26 Films,26008639.666666664,11
27 Films Production,2711677.0,6
2929 Productions,51510571.842857145,75
2D Entertainment,7500000.0,2
2DUX²,75980714.28571428,7
2Plan2,1104511.5,2
2S Films,19967304.333333332,3
2T Produzione Film,303347.0,2
3 Art Entertainment,25653858.666666668,9
3 Arts Entertainment,245245544.71666667,63
3 Days in Vegas,1533609.5,4
3 in the Box,4703094.666666667,5
3311 Productions,1871214.6666666665,20
33andOut Productions,23595430.95,13
34th Street Films,8168940.5,4
360 Pictures,7197954.500000001,11
369 Productions,2666666.6666666665,9
391 Productions,643056.0,6
3B Productions,98312.05,94
3DTK,8766333.166666666,6
3Foot7,191203957.6,5
3L Filmproduktion GmbH,4944039.75,8
3L Filmverleih,2774600.0,6
3Mark Entertainment,4720371.0,1
3ality Digital Entertainment,11365421.0,2
4 Cats Pictures,4153345.0,2
4 Kids Entertainment,73191500.62121212,54
40 Acres & A Mule Filmworks,204593231.08333334,65
403 Productions,6940662.0,4
42,2953285.666666667,8
42 Km Film,20828.933333333334,13
4DH Films,376785.3333333333,6
4Kids Entertainment,19135610.0,13
4M,15666666.666666666,6
5150 Action,89266566.82539684,26
60/80 Productions,3244072.0,2
606 Films,3503879.714285714,7
7 Pictures,4.0,2
80 Days Productions,10311270.714285715,7
8383 Productions,39192.933333333334,10
87Eleven,101003120.73333333,18
8:38 Productions,40708895.666666664,3
98 MPH Productions,25199014.0,3
A,3550724.75,4
A Bad Way Ltd,34157.0,3
A Band Apart,254920605.0,32
A Bigger Boat,16395101.8,10
A Contracorriente Films,360000.0,31
A Grand Elephant,2067477.4,11
A Hot Dog,8053311.333333333,3
A Loopy Production LLC,75138.5,2
A Plus Image,8710794.047619049,16
A Plus Image 2,1793.1666666666667,6
A Plus Image 5,16559.466666666667,15
A&B Producoes,36474549.333333336,3
A&E Television Networks,58506736.5,26
A&M Films,24694569.833333332,18
A-1 Kino Video,8910819.0,2
A-Line Pictures,7012118.571428572,7
A-Mark Entertainment,15309302.0,22
A-Team,10585247.333333334,6
A.F. Cinema e Vídeo,3.0,1
A.G. Films,36500000.0,2
A.I.E.,63000770.849816844,51
A.J.O.Z. Films,11910361.833333332,30
A.M.A. Film,1744263.6666666665,13
A.S. Films,114061.0,18
A113,69718107.33333333,3
A2 Entertainment Group,1826.5,4
A24,70970010.03095238,174
ABC Motion Pictures,25042169.0,4
ABC Pictures,34380705.333333336,28
ABS-CBN Film Productions,116523.33333333333,15
ADF Acquisitions,1050193.8,10
AE Electra Productions,6419506.333333333,3
AE Two Film Productions,5940000.0,5
AFG Talons Productions,15386588.6,5
AFS Film,5176692.333333333,3
AI-Film,19222853.6,11
AM Associates,4166666.6666666665,6
AMLF,3854619.6,51
ANA Media,916267.25,9
APJAC Productions,41722024.5,14
APT Entertainment,11553.0,3
AR Films,7778627.761904761,20
AR-TL,34053750.0,5
ARD Degeto Film,33862074.333333336,85
ARK-Film,404500.0,2
ARP Sélection,44431306.13333333,41
ARTE,6021303.586904761,195
ARTE France Cinéma,249295.2694805195,135
ARY Films,215045.0,3
ASAF,14487287.8,5
ASIG Productions,8437462.333333334,3
ATO Pictures,1875660.3333333333,12
ATR Films,1322856.0,5
AVCO Embassy Pictures,66525652.5,46
AVM Productions,38458709.0,3
AXN,106282.375,29
AZ Celtic Films,556638.5,4
AZ Films,104344.55555555556,9
AZL Productions KG,17529760.166666668,6
Aamir Khan Productions,170207500.0,10
Aardman Animations,244010835.33333334,25
Aaron Russo Productions,1584859.5,4
Aaron Spelling Productions,21594609.0,5
Aascar Films,25500000.0,5
Aashirvad Cinemas,13125273.5,4
Abandon Entertainment,14236150.833333334,6
Abandon Pictures,214519.0,16
Abbas Kiarostami Productions,105656.0,6
Abbolita Productions,110552.25,10
Abe Shuji,862484.1538461539,13
Above All Things Inc,17615.3,10
Abraham Productions,22453027.8,5
Abramoff Production,1397480.0,3
Absolute Entertainment,611577.5,6
Absurda,141509.16666666666,8
Abu Dhabi Film Commission,136931760.0,11
Abyssa Films,3.5,8
Acaba Produzioni,188888.88888888888,9
Acacia Filmed Entertainment,61590068.333333336,3
Academy Film,37474.3,10
Accent Films,547275.0,3
Access Films,7686349.5,6
Access Motion Pictures,693181.0,5
Achab Film,270.25,4
Achte Babelsberg Film,50069000.0,11
Across the River Productions,14954062.333333334,3
Act III,13071853.5,4
Act III Communications,23357791.5,11
Acuarius Films S.A.,226741.33333333334,3
Ad Hoc Productions,284355.25,4
Ad Hominem Enterprises,66596114.666666664,12
Ad Vitim Distribution,16365.0,4
Ad hoc Studios,104344.55555555556,11
AdScott Pictures,1243961.0,1
Ada Films,3200000.0,7
Adam Fields Productions,4934297.166666667,11
Adam Schroeder Productions,36250000.0,4
Adams Apple Film Company,2498893.6666666665,6
Addis Wechsler Pictures,5426525.25,11
Adel Productions,1.0,10
Adelaide Film Festival,75000.0,6
Admire Productions Ltd.,1450698.0,3
Aegis Film Fund,55896755.88214286,31
